,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData mean SpaceGroupNumber,MagpieData minimum Number,MagpieData mean Number,MagpieData maximum Number,MagpieData minimum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData minimum MeltingT,MagpieData mean MeltingT,MagpieData maximum MeltingT,MagpieData minimum Column,MagpieData mean Column,MagpieData maximum Column,MagpieData minimum Row,MagpieData mean Row,MagpieData maximum Row,MagpieData minimum CovalentRadius,MagpieData mean CovalentRadius,MagpieData maximum CovalentRadius,MagpieData minimum Electronegativity,MagpieData mean Electronegativity,MagpieData maximum Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData maximum NsValence,MagpieData minimum NpValence,MagpieData mean NpValence,MagpieData maximum NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData maximum NdValence,MagpieData minimum NfValence,MagpieData mean NfValence,MagpieData maximum NfValence,MagpieData minimum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData maximum GSvolume_pa,PymatgenData minimum block,PymatgenData mean block,PymatgenData maximum block,PymatgenData minimum atomic_mass,PymatgenData mean atomic_mass,PymatgenData maximum atomic_mass,PymatgenData minimum atomic_radius,PymatgenData mean atomic_radius,PymatgenData maximum atomic_radius,cohesive energy (MP)
733,7.260587885219495,13.31491594057279,0.5105576733329679,90.2,759.4,2875.0,13.0,15.96142857142857,17.36,7.34392,11.400537142857143,13.61805,2.4523529549445273,0.8257445282146564,82.42857142857143,8.0,25.428571428571427,50.0,70.0,81.14285714285714,87.0,54.8,273.2457142857143,594.22,12.0,14.571428571428571,16.0,2.0,3.2857142857142856,5.0,66.0,98.71428571428571,144.0,1.69,2.7285714285714286,3.44,2.0,2.0,2.0,0.0,2.5714285714285716,4.0,0.0,4.285714285714286,10.0,0.0,0.0,0.0,9.105,15.527857142857142,33.285,2.0,2.2857142857142856,3.0,15.9994,58.21851428571428,118.71,0.6,0.9928571428571429,1.55,
734,5.083181409125616,24.460603731815983,0.5975728571286236,550.0,967.0,1655.0,13.0,18.796,33.94,5.69485,8.931174,10.48669,2.9976718173040857,0.8548705836027836,123.4,15.0,32.8,48.0,8.0,62.8,83.0,317.3,574.608,1050.0,2.0,11.2,15.0,3.0,4.2,5.0,107.0,139.4,195.0,0.95,1.7419999999999998,2.19,2.0,2.0,2.0,0.0,1.2,3.0,0.0,4.0,10.0,0.0,0.0,0.0,19.495,27.672095238079997,54.23,1.0,2.2,3.0,30.973762,74.8779048,112.411,1.0,1.42,2.0,
735,6.07520262137309,13.524263776286144,0.4674295645911428,90.2,749.3333333333334,3173.0,12.06,15.317777777777776,17.36,8.15168,11.469265555555555,13.61805,2.2954543540950194,0.7043782034851866,96.55555555555556,8.0,22.0,48.0,70.0,80.33333333333333,87.0,54.8,415.9622222222222,1687.0,12.0,14.444444444444445,16.0,2.0,3.111111111111111,5.0,66.0,97.0,144.0,1.69,2.6855555555555553,3.44,2.0,2.0,2.0,0.0,2.4444444444444446,4.0,0.0,3.3333333333333335,10.0,0.0,0.0,0.0,9.105,13.827777777777778,20.44,2.0,2.3333333333333335,3.0,15.9994,49.4795,112.411,0.6,0.9722222222222222,1.55,
736,4.357895985241944,24.75640248292897,0.35145397478062473,717.87,1050.929090909091,3093.0,13.0,14.437272727272727,15.53,7.89943,9.639524545454547,10.36001,2.862788822525433,0.608281778903518,129.1818181818182,16.0,29.09090909090909,48.0,70.0,80.63636363636364,88.0,388.36,538.0400000000001,1211.4,12.0,14.363636363636363,16.0,3.0,3.8181818181818183,5.0,105.0,120.54545454545455,144.0,1.69,2.2045454545454546,2.58,2.0,2.0,2.0,0.0,2.3636363636363638,4.0,0.0,4.545454545454546,10.0,0.0,0.0,0.0,19.495,23.246022727272727,25.786875,2.0,2.3636363636363638,3.0,32.065,64.97036363636363,112.411,1.0,1.2227272727272727,1.55,
737,3.1415918903142805,42.017831849482384,0.41295273824201906,958.0,1208.8846153846155,2875.0,13.0,22.691153846153846,45.94,4.3406633,8.10892653076923,9.75239,3.3348634054283632,0.6926693786457501,105.96153846153847,19.0,34.53846153846154,50.0,3.0,65.1923076923077,89.0,336.53,474.3576923076923,594.22,1.0,11.692307692307692,16.0,4.0,4.269230769230769,5.0,120.0,145.03846153846155,203.0,0.82,1.9503846153846154,2.55,1.0,1.7692307692307692,2.0,0.0,2.230769230769231,4.0,0.0,7.6923076923076925,10.0,0.0,0.0,0.0,19.495,36.67057692308462,73.1066666667,1.0,1.9230769230769231,3.0,39.0983,79.49399230769231,118.71,1.15,1.4884615384615385,2.2,
738,4.168632513632733,24.26694224722346,0.3487803004455096,717.87,1058.2018181818182,3173.0,12.06,14.294545454545455,15.53,8.15168,9.662456363636364,10.36001,2.833434736028777,0.6035988379346909,129.36363636363637,14.0,27.454545454545453,48.0,70.0,80.54545454545455,88.0,388.36,581.2763636363636,1687.0,12.0,14.363636363636363,16.0,3.0,3.727272727272727,5.0,105.0,119.72727272727273,144.0,1.69,2.194545454545455,2.58,2.0,2.0,2.0,0.0,2.3636363636363638,4.0,0.0,3.6363636363636362,10.0,0.0,0.0,0.0,19.495,23.01284090909091,25.786875,2.0,2.3636363636363638,3.0,28.0855,60.919954545454544,112.411,1.0,1.209090909090909,1.55,
739,5.173558916428244,27.763295348735596,0.34772254891443666,958.0,1189.1818181818182,3173.0,12.06,14.780000000000001,16.42,8.15168,9.331027272727273,9.75239,2.9816819501914846,0.6087350863572681,98.81818181818181,14.0,37.27272727272727,48.0,70.0,81.0909090909091,89.0,494.0,638.8981818181818,1687.0,12.0,14.363636363636363,16.0,3.0,4.2727272727272725,5.0,111.0,127.9090909090909,144.0,1.69,2.1781818181818178,2.55,2.0,2.0,2.0,0.0,2.3636363636363638,4.0,0.0,9.090909090909092,10.0,0.0,0.0,0.0,19.495,23.085454545454546,25.92,2.0,2.3636363636363638,3.0,28.0855,86.49904545454545,112.411,1.1,1.2909090909090908,1.55,
740,5.323291727877647,33.3387491939379,0.6365641577395008,1040.0,1612.5862068965516,1860.0,13.0,23.090344827586208,33.94,5.69485,7.582998275862069,8.99382,3.4300563479850594,0.7987216885605807,194.17241379310346,38.0,45.44827586206897,51.0,8.0,52.689655172413794,85.0,594.22,895.1958620689655,1050.0,2.0,9.448275862068966,15.0,5.0,5.0,5.0,139.0,161.27586206896552,195.0,0.95,1.5582758620689654,2.05,2.0,2.0,2.0,0.0,1.2413793103448276,3.0,0.0,6.206896551724138,10.0,0.0,0.0,0.0,19.495,37.66275862068965,54.23,1.0,1.8275862068965518,3.0,87.62,106.87606896551725,121.76,1.45,1.6793103448275863,2.0,
741,5.265794832921725,26.401755096922326,0.34581995083196787,887.0,1476.75,3093.0,12.95,13.1325,13.63,7.89943,9.1176125,9.7886,2.783636287346004,0.5866405964598473,187.75,32.0,36.5,48.0,70.0,79.25,84.0,594.22,996.405,1211.4,12.0,14.0,15.0,4.0,4.25,5.0,119.0,125.5,144.0,1.69,2.015,2.18,2.0,2.0,2.0,0.0,2.0,3.0,10.0,10.0,10.0,0.0,0.0,0.0,19.495,21.7125,23.005,2.0,2.25,3.0,72.64,83.72354999999999,112.411,1.15,1.275,1.55,
742,4.575652563556364,26.215718835045934,0.3773942162932998,717.87,878.935,1040.0,13.0,14.265,15.53,8.99382,9.676915000000001,10.36001,2.7449228549308495,0.7285402143253397,132.0,16.0,32.0,48.0,70.0,79.0,88.0,388.36,491.29,594.22,12.0,14.0,16.0,3.0,4.0,5.0,105.0,124.5,144.0,1.69,2.135,2.58,2.0,2.0,2.0,0.0,2.0,4.0,0.0,5.0,10.0,0.0,0.0,0.0,19.495,22.6409375,25.786875,2.0,2.5,3.0,32.065,72.238,112.411,1.0,1.275,1.55,
